"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",34,"1","EE",2018,167,3.2,"Estonia","Eastern Europe"
"NR",34,"1","EL",2018,2540,6.3,"Greece","Southern Europe"
"NR",34,"1","ES",2018,12255,6.8,"Spain","Southern Europe"
"NR",34,"1","HU",2018,1691,4.1,"Hungary","Eastern Europe"
"NR",34,"1","NL",2018,3278,4.3,"Netherlands","Western Europe"
"NR",34,"1","PL",2018,5109,3.1,"Poland","Eastern Europe"
"NR",34,"1","PT",2018,2463,5.6,"Portugal","Southern Europe"
"NR",34,"1","RO",2018,3028,2.8,"Roumania","Eastern Europe"
"NR",35,"1","AT",2018,1734,4.3,"Austria","Western Europe"
"NR",35,"1","BE",2018,1464,2.9,"Belgium","Western Europe"
"NR",35,"1","BG",2018,657,2.2,"Bulgaria","Eastern Europe"
"NR",35,"1","CZ",2018,1649,3,"Czechia","Eastern Europe"
"NR",35,"1","EE",2018,139,2.6,"Estonia","Eastern Europe"
"NR",35,"1","EL",2018,2295,5.7,"Greece","Southern Europe"
"NR",35,"1","ES",2018,11447,6.3,"Spain","Southern Europe"
"NR",35,"1","HU",2018,1425,3.5,"Hungary","Eastern Europe"
"NR",35,"1","NL",2018,2641,3.5,"Netherlands","Western Europe"
"NR",35,"1","PL",2018,4058,2.5,"Poland","Eastern Europe"
"NR",35,"1","PT",2018,2138,4.8,"Portugal","Southern Europe"
"NR",35,"1","RO",2018,2470,2.3,"Roumania","Eastern Europe"
"NR",36,"1","AT",2018,1440,3.6,"Austria","Western Europe"
"NR",36,"1","BE",2018,1158,2.3,"Belgium","Western Europe"
"NR",36,"1","BG",2018,576,1.9,"Bulgaria","Eastern Europe"
"NR",36,"1","CZ",2018,1328,2.4,"Czechia","Eastern Europe"
"NR",36,"1","EE",2018,99,1.9,"Estonia","Eastern Europe"
"NR",36,"1","EL",2018,1891,4.7,"Greece","Southern Europe"
"NR",36,"1","ES",2018,10344,5.7,"Spain","Southern Europe"
"NR",36,"1","HU",2018,1224,3,"Hungary","Eastern Europe"
"NR",36,"1","NL",2018,2072,2.7,"Netherlands","Western Europe"
"NR",36,"1","PL",2018,2934,1.8,"Poland","Eastern Europe"
"NR",36,"1","PT",2018,1825,4.1,"Portugal","Southern Europe"
"NR",36,"1","RO",2018,2303,2.2,"Roumania","Eastern Europe"
"NR",37,"1","AT",2018,996,2.5,"Austria","Western Europe"
"NR",37,"1","BE",2018,926,1.8,"Belgium","Western Europe"
"NR",37,"1","BG",2018,467,1.5,"Bulgaria","Eastern Europe"
"NR",37,"1","CZ",2018,1005,1.8,"Czechia","Eastern Europe"
"NR",37,"1","EE",2018,85,1.6,"Estonia","Eastern Europe"
"NR",37,"1","EL",2018,1572,3.9,"Greece","Southern Europe"
"NR",37,"1","ES",2018,8720,4.8,"Spain","Southern Europe"
"NR",37,"1","HU",2018,991,2.4,"Hungary","Eastern Europe"
"NR",37,"1","NL",2018,1568,2.1,"Netherlands","Western Europe"
"NR",37,"1","PL",2018,2225,1.3,"Poland","Eastern Europe"
"NR",37,"1","PT",2018,1507,3.4,"Portugal","Southern Europe"
"NR",37,"1","RO",2018,1832,1.7,"Roumania","Eastern Europe"
"NR",38,"1","AT",2018,736,1.8,"Austria","Western Europe"
"NR",38,"1","BE",2018,692,1.4,"Belgium","Western Europe"
"NR",38,"1","BG",2018,377,1.2,"Bulgaria","Eastern Europe"
"NR",38,"1","CZ",2018,792,1.4,"Czechia","Eastern Europe"
"NR",38,"1","EE",2018,62,1.2,"Estonia","Eastern Europe"
"NR",38,"1","EL",2018,1274,3.2,"Greece","Southern Europe"
"NR",38,"1","ES",2018,7278,4,"Spain","Southern Europe"
"NR",38,"1","HU",2018,751,1.8,"Hungary","Eastern Europe"
"NR",38,"1","NL",2018,1224,1.6,"Netherlands","Western Europe"
"NR",38,"1","PL",2018,1618,1,"Poland","Eastern Europe"
"NR",38,"1","PT",2018,1169,2.6,"Portugal","Southern Europe"
"NR",38,"1","RO",2018,1449,1.4,"Roumania","Eastern Europe"
"NR",39,"1","AT",2018,594,1.5,"Austria","Western Europe"
"NR",39,"1","BE",2018,507,1,"Belgium","Western Europe"
"NR",39,"1","BG",2018,278,0.9,"Bulgaria","Eastern Europe"
"NR",39,"1","CZ",2018,696,1.3,"Czechia","Eastern Europe"
"NR",39,"1","EE",2018,29,0.6,"Estonia","Eastern Europe"
"NR",39,"1","EL",2018,952,2.4,"Greece","Southern Europe"
"NR",39,"1","ES",2018,5783,3.2,"Spain","Southern Europe"
"NR",39,"1","HU",2018,582,1.4,"Hungary","Eastern Europe"
"NR",39,"1","NL",2018,904,1.2,"Netherlands","Western Europe"
"NR",39,"1","PL",2018,1173,0.7,"Poland","Eastern Europe"
"NR",39,"1","PT",2018,945,2.1,"Portugal","Southern Europe"
"NR",39,"1","RO",2018,1028,1,"Roumania","Eastern Europe"
"NR",40,"1","AT",2018,404,1,"Austria","Western Europe"
"NR",40,"1","BE",2018,411,0.8,"Belgium","Western Europe"
"NR",40,"1","BG",2018,244,0.8,"Bulgaria","Eastern Europe"
"NR",40,"1","CZ",2018,424,0.8,"Czechia","Eastern Europe"
"NR",40,"1","EE",2018,32,0.6,"Estonia","Eastern Europe"
"NR",40,"1","EL",2018,708,1.8,"Greece","Southern Europe"
